country_code,region_name,iata,icao,airport,latitude,longitude
NI,Costa Caribe Norte,PUZ,MNPC,Puerto Cabezas Airport,14.05,-83.39
NI,Rivas,ECI,MNCE,Costa Esmeralda Airport,11.43,-86.03
NI,Costa Caribe Sur,NVG,MNNG,Nueva Guinea Airport,11.67,-84.45
NI,Costa Caribe Sur,RNI,MNCI,Corn Island Airport,12.16,-83.06
NI,Costa Caribe Norte,SIU,MNSI,Siuna Airport,13.73,-84.78
NI,Costa Caribe Norte,RFS,MNRT,Rosita Airport,13.89,-84.41
NI,Managua,MGA,MNMG,Augusto C. Sandino International Airport,12.14,-86.17
NL,Flevoland,LEY,EHLE,Lelystad Airport,52.46,5.53
NL,Noord-Brabant,EIN,EHEH,Eindhoven Airport,51.45,5.37
NL,Noord-Brabant,WOE,EHWO,Woensdrecht Air Base,51.45,4.34
NL,Noord-Brabant,UDE,EHVK,Volkel Air Base,51.66,5.71
NL,Utrecht,UTC,EHSB,Soesterberg Air Base,52.13,5.28
NL,Drenthe,GRQ,EHGG,Groningen Airport Eelde,53.12,6.58
NL,Fryslan,LWR,EHLW,Leeuwarden Air Base,53.23,5.76
NL,Zuid-Holland,RTM,EHRD,Rotterdam The Hague Airport,51.96,4.44
NL,Noord-Holland,AMS,EHAM,Amsterdam Airport Schiphol,52.31,4.76
NL,Limburg,MST,EHBK,Maastricht Aachen Airport,50.91,5.77
NL,Noord-Brabant,GLZ,EHGR,Gilze-Rijen Air Base,51.57,4.93
NL,Noord-Holland,DHR,EHKD,De Kooy Airfield,52.92,4.78
NL,Overijssel,ENS,EHTW,Enschede Airport Twente,52.28,6.89
NO,Rogaland,HAU,ENHD,Haugesund Airport,59.35,5.21
NO,Finnmark,HVG,ENHV,Honningsvag Airport,71.01,25.98
NO,More og Romsdal,MOL,ENML,Molde Airport,62.74,7.26
NO,Sor-Trondelag,RRS,ENRO,Roros Airport,62.58,11.34
NO,Ostfold,RYG,ENRY,Moss Airport,59.38,10.79
NO,Sogn og Fjordane,FDE,ENBL,Forde Airport,61.39,5.76
NO,Nordland,MQN,ENRA,Mo i Rana Airport,66.36,14.3
NO,Finnmark,VDS,ENVD,Vadso Airport,70.07,29.84
NO,Vestfold,TRF,ENTO,Sandefjord Airport,59.19,10.26
NO,Telemark,SKE,ENSN,Skien Airport,59.18,9.57
NO,Nord-Trondelag,TRD,ENVA,Trondheim Airport,63.46,10.92
NO,More og Romsdal,KSU,ENKB,Kristiansund Airport,63.11,7.82
NO,Nordland,SVJ,ENSH,Svolvaer Airport,68.24,14.67
NO,More og Romsdal,AES,ENAL,Alesund Airport,62.56,6.12
NO,Troms,TOS,ENTC,Tromse Airport,69.68,18.92
NO,Sor-Trondelag,OSY,ENNM,Namsos Airport,64.47,11.58
NO,Rogaland,SVG,ENZV,Stavanger Airport,58.88,5.64
NO,Buskerud,GLL,ENKL,Gol Airport,60.79,9.05
NO,Sor-Trondelag,OLA,ENOL,Orland Airport,63.7,9.6
NO,Telemark,NTB,ENNO,Notodden Airport,59.57,9.21
NO,Finnmark,KKN,ENKR,Kirkenes Airport,69.73,29.89
NO,Nordland,RET,ENRS,Rost Airport,67.53,12.1
NO,Sogn og Fjordane,FRO,ENFL,Floro Airport,61.58,5.02
NO,Nordland,NVK,ENNK,Narvik Airport,68.44,17.39
NO,Finnmark,HFT,ENHF,Hammerfest Airport,70.68,23.67
NO,Sogn og Fjordane,SOG,ENSG,Sogndal Airport,61.16,7.14
NO,Finnmark,HAA,ENHK,Hasvik Airport,70.49,22.14
NO,Sor-Trondelag,RVK,ENRM,Rorvik Airport,64.84,11.15
NO,Akershus,OSL,ENGM,Oslo Airport,60.19,11.1
NO,Finnmark,ALF,ENAT,Alta Airport,69.98,23.37
NO,Troms,BDU,ENDU,Bardufoss Airport,69.06,18.54
NO,Nordland,SSJ,ENST,Sandnessjoen Airport,65.96,12.47
NO,Nordland,ANX,ENAN,Andoya Airport,69.29,16.14
NO,Nordland,SKN,ENSK,Stokmarknes Airport,68.58,15.03
NO,Hedmark,HMR,ENHA,Hamar Airport,60.82,11.07
NO,Hordaland,BGO,ENBR,Bergen Airport,60.29,5.22
NO,Troms,SOJ,ENSR,Sorkjosen Airport,69.79,20.96
NO,Vest-Agder,KRS,ENCN,Kristiansand Airport,58.2,8.09
NO,Finnmark,BJF,ENBS,Batsfjord Airport,70.6,29.69
NO,Nordland,BNN,ENBN,Bronnoysund Airport,65.46,12.22
NO,Nordland,BOO,ENBO,Bodo Airport,67.27,14.37
NO,Hordaland,SRP,ENSO,Stord Airport,59.79,5.34
NO,Finnmark,MEH,ENMH,Mehamn Airport,71.03,27.83
NO,Finnmark,BVG,ENBV,Berlevag Airport,70.87,29.03
NO,Nordland,MJF,ENMS,Mosjoen Airport,65.78,13.21
NO,More og Romsdal,HOV,ENOV,Orsta-Volda Airport,62.18,6.07
NO,Nordland,LKN,ENLK,Leknes Airport,68.15,13.61
NO,Sogn og Fjordane,SDN,ENSD,Sandane Airport,61.83,6.11
NO,Finnmark,LKL,ENNA,Lakselv Airport,70.07,24.97
NO,Finnmark,VAW,ENSS,Varddo Air,70.36,31.04
NO,Nordland,EVE,ENEV,Harstad/Narvik Airport,68.49,16.68
NO,Oppland,VDB,ENFG,Fagernes Airport,61.02,9.29
NP,Mahakali,SIH,VNDT,Silgadhi Airport,29.26,80.94
NP,Sagarmatha,SYH,VNSB,Syangboche Airport,27.81,86.71
NP,Narayani,SIF,VNSI,Simara Airport,27.16,84.98
NP,Janakpur,JKR,VNJP,Janakpur Airport,26.71,85.92
NP,Bagmati,KTM,VNKT,Tribhuvan International Airport,27.7,85.36
NP,Sagarmatha,JIR,VNJI,Jiri Airport,27.63,86.23
NP,Dhawalagiri,BGL,VNBL,Balewa Airport,28.21,83.67
NP,Bheri,KEP,VNNG,Nepalgunj Airport,28.1,81.67
NP,Seti,BIT,VNBT,Baitadi Airport,29.47,80.55
NP,Janakpur,RHP,VNRC,Ramechhap Airport,27.39,86.06
NP,Seti,BJH,VNBG,Bajhang Airport,29.54,81.19
NP,Rapti,RUK,VNRK,Chaurjahari Airport,28.63,82.2
NP,Sagarmatha,PPL,VNPL,Phaplu Airport,27.52,86.58
NP,Gandaki,PKR,VNPK,Pokhara Airport,28.2,83.98
NP,Bheri,SKH,VNSK,Surkhet Airport,28.59,81.64
NP,Kosi,RJB,VNRB,Rajbiraj Airport,26.51,86.73
NP,Narayani,GKH,VNGK,Palungtar Airport,28.04,84.47
NP,Bheri,BJU,VNBR,Bajura Airport,29.5,81.67
NP,Mechi,BDP,VNCG,Bhadrapur Airport (Chandragadhi Airport),26.57,88.08
NP,Karnali,IMK,VNST,Simikot Airport,29.97,81.82
NP,Seti,DHI,VNDH,Dhangadhi Airport,28.75,80.58
NP,Sagarmatha,LUA,VNLK,Tenzing-Hillary Airport,27.69,86.73
NP,Sagarmatha,LDN,VNLD,Lamidanda Airport,27.25,86.67
NP,Kosi,TMI,VNTR,Tumlingtar Airport,27.32,87.19
NP,Rapti,DNP,VNDG,Tribhuvannagar Airport (Dang Airport),28.11,82.29
NP,Dhawalagiri,JMO,VNJS,Jomsom Airport,28.78,83.72
NP,Seti,DAP,VNDL,Darchula Airport,29.67,80.55
NP,Lumbini,BWA,VNBW,Gautam Buddha Airport,27.51,83.42
NP,Kosi,BHP,VNBJ,Bhojpur Airport,27.15,87.05
NP,Bagmati,LTG,VNLT,Langtang Airport,28.2,85.58
NP,Seti,TPU,VNTP,Tikapur Airport,28.52,81.12
NP,Narayani,BHR,VNBP,Bharatpur Airport,27.68,84.43
NP,Mahakali,XMG,VNMN,Mahendranagar Airport,28.96,80.15
NP,Karnali,DOP,VNDP,Dolpa Airport,28.99,82.82
NP,Rapti,RPA,VNRP,Rolpa Airport,28.27,82.76
NP,Narayani,MEY,VNMG,Meghauli Airport,27.58,84.23
NP,Seti,FEB,VNSR,Sanfebagar Airport,29.24,81.22
NP,Mechi,TPJ,VNTJ,Taplejung Airport,27.35,87.7
NP,Gandaki,NGX,VNMA,Manang Airport,28.64,84.09
NP,Kosi,BIR,VNVT,Biratnagar Airport,26.48,87.26
NP,Karnali,JUM,VNJL,Jumla Airport,29.27,82.19
NP,Sagarmatha,RUM,VNRT,Rumjatar Airport,27.3,86.55
NR,Yaren,INU,ANYN,Nauru International Airport,-0.55,166.92
NU,Niue,IUE,NIUE,Niue International Airport (Hanan Int'l),-19.08,-169.93
NZ,Canterbury,CHC,NZCH,Christchurch International Airport,-43.49,172.53
NZ,West Coast,HKK,NZHK,Hokitika Airport,-42.71,170.98
NZ,Manawatu-Wanganui,OHA,NZOH,RNZAF Base Ohakea,-40.21,175.39
NZ,Auckland,GBZ,NZGB,Great Barrier Aerodrome,-36.24,175.47
NZ,Otago,ALR,NZLX,Alexandra Aerodrome,-45.21,169.37
NZ,Waikato,TKZ,NZTO,Tokoroa Aerodrome,-38.24,175.89
NZ,Tasman,KTF,NZTK,Takaka Aerodrome,-40.81,172.78
NZ,Waikato,RAG,NZRA,Raglan Aerodrome,-37.8,174.86
NZ,Waikato,MTA,NZMA,Matamata Airport,-37.73,175.74
NZ,Northland,KKO,NZKO,Kaikohe Aerodrome,-35.45,173.82
NZ,Northland,DGR,NZDA,Dargaville Aerodrome,-35.94,173.89
NZ,Marlborough,PCN,NZPN,Picton Aerodrome,-41.35,173.96
NZ,Manawatu-Wanganui,PMR,NZPM,Palmerston North Airport,-40.32,175.62
